t,value
1590873117,78
1590873120,78
1590873123,78
1590873126,78
1590873129,78
1590873132,78
1590873135,78
1590873138,78
1590873141,78
1590873144,78
1590873147,78
1590873150,78
1590873153,78
1590873156,78
1590873159,78
1590873162,78
1590873165,78
1590873168,78
1590873171,78
1590873174,78
1590873177,78
1590873180,78
1590873183,78
1590873186,78
1590873189,78
1590873192,78
1590873195,78
1590873198,78
1590873201,78
1590873204,78
1590873207,78
1590873210,78
1590873213,78
1590873216,78
1590873219,78
1590873222,78
1590873225,78
1590873228,78
1590873231,78
1590873234,78
1590873237,78
1590873240,78
1590873243,78
1590873246,78
1590873249,78
1590873252,78
1590873255,78
1590873258,78
1590873261,78
1590873264,78
1590873267,78
1590873270,78
1590873273,78
1590873276,78
1590873279,78
1590873282,78
1590873285,78
1590873288,78
1590873291,78
1590873294,78
1590873297,78
1590873300,78
1590873303,78
1590873306,78
1590873309,78
1590873312,78
1590873315,78
1590873318,78
1590873321,78
1590873324,78
1590873327,78
1590873330,78
1590873333,78
1590873336,78
1590873339,78
1590873342,78
1590873345,78
1590873348,78
1590873351,78
1590873354,78
1590873357,78
1590873360,78
1590873363,78
1590873366,78
1590873369,78
1590873372,78
1590873375,78
1590873378,78
1590873381,78
1590873384,78
1590873387,78
1590873390,78
1590873393,78
1590873396,78
1590873399,78
1590873402,78
1590873405,78
1590873408,78
1590873411,78
1590873414,78
1590873417,78
1590873420,78
1590873423,78
1590873426,78
1590873429,78
1590873432,78
1590873435,78
1590873438,78
1590873441,78
1590873444,78
1590873447,78
1590873450,78
1590873453,78
1590873456,78
1590873459,78
1590873462,78
1590873465,78
1590873468,78
1590873471,78
1590873474,78
1590873477,78
1590873480,78
1590873483,78
1590873486,78
1590873489,78
1590873492,78
1590873495,78
1590873498,78
1590873501,78
1590873504,78
1590873507,78
1590873510,78
1590873513,78
1590873516,78
1590873519,78
1590873522,78
1590873525,78
1590873528,78
1590873531,78
1590873534,78
1590873537,78
1590873540,78
1590873543,78
1590873546,78
1590873549,78
1590873552,78
1590873555,78
1590873558,78
1590873561,78
1590873564,78
1590873567,78
1590873570,78
1590873573,78
1590873576,78
1590873579,78
1590873582,78
1590873585,78
1590873588,78
1590873591,78
1590873594,78
1590873597,78
1590873600,78
1590873603,78
1590873606,78
1590873609,78
1590873612,78
1590873615,78
1590873618,78
1590873621,78
1590873624,78
1590873627,78
1590873630,78
1590873633,78
1590873636,78
1590873639,78
1590873642,78
1590873645,78
1590873648,78
1590873651,78
1590873654,78
1590873657,78
1590873660,78
1590873663,78
1590873666,78
1590873669,78
1590873672,78
1590873675,78
1590873678,78
1590873681,78
1590873684,78
1590873687,78
1590873690,78
1590873693,78
1590873696,78
1590873699,78
1590873702,78
1590873705,78
1590873708,78
1590873711,78
1590873714,78
1590873717,78
1590873720,78
1590873723,78
1590873726,78
1590873729,78
1590873732,78
1590873735,78
1590873738,78
1590873741,78
1590873744,78
1590873747,78
1590873750,78
1590873753,78
1590873756,78
1590873759,78
1590873762,78
1590873765,78
1590873768,78
1590873771,78
1590873774,78
1590873777,78
1590873780,78
1590873783,78
1590873786,78
1590873789,78
1590873792,78
1590873795,78
1590873798,78
1590873801,78
1590873804,78
1590873807,78
1590873810,78
1590873813,78
1590873816,78
1590873819,78
1590873822,78
1590873825,78
1590873828,78
1590873831,78
1590873834,78
1590873837,78
1590873840,78
1590873843,78
1590873846,78
1590873849,78
1590873852,78
1590873855,78
1590873858,78
1590873861,78
1590873864,78
1590873867,78
1590873870,78
1590873873,78
1590873876,78
1590873879,78
1590873882,78
1590873885,78
1590873888,78
1590873891,78
1590873894,78
1590873897,78
1590873900,78
1590873903,78
1590873906,78
1590873909,78
1590873912,78
1590873915,78
1590873918,78
1590873921,78
1590873924,78
1590873927,78
1590873930,78
1590873933,78
1590873936,78
1590873939,78
1590873942,78
1590873945,78
1590873948,78
1590873951,78
1590873954,78
1590873957,78
1590873960,78
1590873963,78
1590873966,78
1590873969,78
1590873972,78
1590873975,78
1590873978,78
1590873981,78
1590873984,78
1590873987,78
1590873990,78
1590873993,78
1590873996,78
1590873999,78
1590874002,78
1590874005,78
1590874008,78
1590874011,78
1590874014,78
1590874017,78
1590874020,78
1590874023,78
1590874026,78
1590874029,78
1590874032,78
1590874035,78
1590874038,78
1590874041,78
1590874044,78
1590874047,78
1590874050,78
1590874053,78
1590874056,78
1590874059,78
1590874062,78
1590874065,78
1590874068,78
1590874071,78
1590874074,78
1590874077,78
1590874080,78
1590874083,78
1590874086,78
1590874089,78
1590874092,78
1590874095,78
1590874098,78
1590874101,78
1590874104,78
1590874107,78
1590874110,78
1590874113,78
1590874116,78
