t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1590873117,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873120,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873123,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873126,0,0.000000,0.000000,0.000000,0.000000,events/second
1590873129,2,0.112307,0.000000,0.000000,0.000000,events/second
1590873132,2,0.096052,0.000000,0.000000,0.000000,events/second
1590873135,2,0.083977,0.000000,0.000000,0.000000,events/second
1590873138,3,0.111846,0.000000,0.000000,0.000000,events/second
1590873141,3,0.100587,0.000000,0.000000,0.000000,events/second
1590873144,3,0.091277,0.000000,0.000000,0.000000,events/second
1590873147,4,0.111725,0.000000,0.000000,0.000000,events/second
1590873150,4,0.103060,0.000000,0.000000,0.000000,events/second
1590873153,4,0.095664,0.000000,0.000000,0.000000,events/second
1590873156,4,0.089248,0.000000,0.000000,0.000000,events/second
1590873159,5,0.104578,0.000000,0.000000,0.000000,events/second
1590873162,5,0.098394,0.000000,0.000000,0.000000,events/second
1590873165,5,0.092900,0.000000,0.000000,0.000000,events/second
1590873168,7,0.123200,0.000000,0.000000,0.000000,events/second
1590873171,7,0.117033,0.000000,0.000000,0.000000,events/second
1590873174,7,0.111453,0.000000,0.000000,0.000000,events/second
1590873177,7,0.106358,0.000000,0.000000,0.000000,events/second
1590873180,8,0.116250,0.000000,0.000000,0.000000,events/second
1590873183,8,0.111399,0.000000,0.000000,0.000000,events/second
1590873186,8,0.106932,0.000000,0.000000,0.000000,events/second
1590873189,9,0.115660,0.000000,0.000000,0.000000,events/second
1590873192,10,0.123736,0.000000,0.000000,0.000000,events/second
1590873195,10,0.119299,0.000000,0.000000,0.000000,events/second
1590873198,10,0.115202,0.000000,0.000000,0.000000,events/second
1590873201,10,0.111339,0.000000,0.000000,0.000000,events/second
1590873204,10,0.107742,0.000000,0.000000,0.000000,events/second
1590873207,11,0.114800,0.000000,0.000000,0.000000,events/second
1590873210,11,0.111314,0.000000,0.000000,0.000000,events/second
1590873213,11,0.108039,0.000000,0.000000,0.000000,events/second
1590873216,11,0.104946,0.000000,0.000000,0.000000,events/second
1590873219,11,0.102029,0.000000,0.000000,0.000000,events/second
1590873222,11,0.099207,0.000000,0.000000,0.000000,events/second
1590873225,11,0.096649,0.000000,0.000000,0.000000,events/second
1590873228,12,0.102730,0.000000,0.000000,0.000000,events/second
1590873231,12,0.100141,0.000000,0.000000,0.000000,events/second
1590873234,12,0.097719,0.000000,0.000000,0.000000,events/second
1590873237,12,0.095374,0.000000,0.000000,0.000000,events/second
1590873240,12,0.093159,0.000000,0.000000,0.000000,events/second
1590873243,12,0.091035,0.000000,0.000000,0.000000,events/second
1590873246,12,0.089009,0.000000,0.000000,0.000000,events/second
1590873249,13,0.094327,0.000000,0.000000,0.000000,events/second
1590873252,13,0.092318,0.000000,0.000000,0.000000,events/second
1590873255,13,0.090392,0.000000,0.000000,0.000000,events/second
